student_id,reference_dt,status
a7ca66c539ebcaf86d06052859efe1cb,"September 13, 2024",tardy
bdce4387940550d57a5b32d3f21834b0,"September 13, 2024",tardy
03ea6d3448e4ae93aa3d1c502a00d093,"August 27, 2024",present
03ea6d3448e4ae93aa3d1c502a00d093,"August 28, 2024",present
420caf9e3799ea81d4289fbd3f54af87,"August 27, 2024",present
420caf9e3799ea81d4289fbd3f54af87,"August 28, 2024",present
992c8809fbf2994fd0a36e1013c7c3e0,"August 27, 2024",present
992c8809fbf2994fd0a36e1013c7c3e0,"August 28, 2024",present
23c101cba1965c774f96eda3ff90125f,"August 27, 2024",present
23c101cba1965c774f96eda3ff90125f,"August 28, 2024",present
06bcdb931286eb9b6e8018c8f4c3a64c,"August 27, 2024",present
06bcdb931286eb9b6e8018c8f4c3a64c,"August 28, 2024",present
256ec18acc2209827e01d061b9cfda26,"August 27, 2024",absent
256ec18acc2209827e01d061b9cfda26,"August 28, 2024",tardy
e7dc8a5548cf3b4c0fcc6742258badae,"August 27, 2024",present
e7dc8a5548cf3b4c0fcc6742258badae,"August 28, 2024",present
ef82c3dce753fe87339311f9e2b2cd67,"August 27, 2024",tardy
09deec9fb80c79881d100a13a74bb6dc,"August 27, 2024",present
ef82c3dce753fe87339311f9e2b2cd67,"August 28, 2024",present
09deec9fb80c79881d100a13a74bb6dc,"August 28, 2024",present
4f327e3aca194bf0a8771b8a0b724588,"August 27, 2024",present
466c312723ffe2a550b224a1577d994d,"August 27, 2024",present
4f327e3aca194bf0a8771b8a0b724588,"August 28, 2024",present
9b7787f5e6b893967bc76b540abb3ed7,"August 27, 2024",tardy
466c312723ffe2a550b224a1577d994d,"August 28, 2024",absent
9b7787f5e6b893967bc76b540abb3ed7,"August 28, 2024",present
60fb922989c0b91bc6854e1f85b06406,"August 27, 2024",present
198840ebae1fe182c1e15a31abcd99b6,"August 27, 2024",present
60fb922989c0b91bc6854e1f85b06406,"August 28, 2024",present
bcb2705d37f044fffb92ac80d3e96dea,"August 27, 2024",present
198840ebae1fe182c1e15a31abcd99b6,"August 28, 2024",present
bcb2705d37f044fffb92ac80d3e96dea,"August 28, 2024",present
7892ca20ef2ea02508ab40dc504db92c,"August 27, 2024",present
ce49852dde9f60dc0d0a8a7b75610e23,"August 27, 2024",tardy
7892ca20ef2ea02508ab40dc504db92c,"August 28, 2024",present
23b475f0788f70bce56f8814f95b6461,"August 27, 2024",present
ce49852dde9f60dc0d0a8a7b75610e23,"August 28, 2024",present
23b475f0788f70bce56f8814f95b6461,"August 28, 2024",present
7559f24a2f0223741cbb7cad7120ba98,"August 27, 2024",tardy
01c35224ed1f8996a471f22829146460,"August 27, 2024",present
7559f24a2f0223741cbb7cad7120ba98,"August 28, 2024",tardy
29980e5f3700d820aa57e6e4327409e6,"August 27, 2024",present
01c35224ed1f8996a471f22829146460,"August 28, 2024",present
29980e5f3700d820aa57e6e4327409e6,"August 28, 2024",present
4496cd2256decd1710c893470c9bf3ed,"August 27, 2024",present
072bb7715a9bd294930c4ac3078a93af,"August 27, 2024",present
4496cd2256decd1710c893470c9bf3ed,"August 28, 2024",present
640a7b504e38df829cc507abf4367157,"August 27, 2024",absent
072bb7715a9bd294930c4ac3078a93af,"August 28, 2024",present
640a7b504e38df829cc507abf4367157,"August 28, 2024",present
5e9518984c73c5b44d79e5a1bc9c639b,"August 27, 2024",present
24251afc7f85b7c9663b65aff1ac2f75,"August 27, 2024",tardy
5e9518984c73c5b44d79e5a1bc9c639b,"August 28, 2024",present
f5046b513dd19047573c5ebdb14f98ba,"August 27, 2024",tardy
24251afc7f85b7c9663b65aff1ac2f75,"August 28, 2024",tardy
f5046b513dd19047573c5ebdb14f98ba,"August 28, 2024",present
7e9b2a0bbf548bc0bd11a0822bf5b161,"August 27, 2024",tardy
7bbc63bf3083f36ab602f9a75059eecb,"August 27, 2024",present
7e9b2a0bbf548bc0bd11a0822bf5b161,"August 28, 2024",tardy
98c7473048bff3b7e3bd382a7b9acae8,"August 27, 2024",present
7bbc63bf3083f36ab602f9a75059eecb,"August 28, 2024",absent
98c7473048bff3b7e3bd382a7b9acae8,"August 28, 2024",present
e43061c37270e0a32b124b59437c4b20,"August 29, 2024",present
9eb454583f8e4838c1d231fbd0f17327,"August 27, 2024",present
9eb454583f8e4838c1d231fbd0f17327,"August 28, 2024",tardy
4bd3c9f7c1def173e2b9f8cb2d334f07,"August 27, 2024",present
4bd3c9f7c1def173e2b9f8cb2d334f07,"August 28, 2024",present
a24e935eb993fd6372af552e9f1b52f4,"August 27, 2024",absentExcused
266ff9a31c650f16ec2f39d5ab51d4d0,"August 29, 2024",tardy
a24e935eb993fd6372af552e9f1b52f4,"August 28, 2024",absentExcused
0e988854f733217ea8ef519cd73c32c8,"August 27, 2024",present
23cadea5c75c644671efda4d293a7275,"September 13, 2024",present
0e988854f733217ea8ef519cd73c32c8,"August 28, 2024",absent
b9eadb9a5c2d18742b86bbf21f0e71d4,"August 27, 2024",absent
b9eadb9a5c2d18742b86bbf21f0e71d4,"August 28, 2024",absent
d10b5f08220fb7a9991af44902bce785,"August 29, 2024",present
4657f875e9bdc8fa3fe31ed33b432099,"August 27, 2024",present
4657f875e9bdc8fa3fe31ed33b432099,"August 28, 2024",present
dafe6d0d552b24a118dec2e70b91fa42,"August 27, 2024",tardy
dafe6d0d552b24a118dec2e70b91fa42,"August 28, 2024",present
48a6c050ec9fe31d6a225ba63eb2cb8b,"August 27, 2024",present
48a6c050ec9fe31d6a225ba63eb2cb8b,"August 28, 2024",present
cd777f826bce98bc998cec6350822a0d,"August 27, 2024",present
cd777f826bce98bc998cec6350822a0d,"August 28, 2024",present
7580c69975db0de8a26ba2afc52299c2,"August 27, 2024",present
7580c69975db0de8a26ba2afc52299c2,"August 28, 2024",present
e43061c37270e0a32b124b59437c4b20,"August 27, 2024",present
e43061c37270e0a32b124b59437c4b20,"August 28, 2024",present
98ef394f4a2a18dba0dde7d40ea78ee9,"August 27, 2024",present
98ef394f4a2a18dba0dde7d40ea78ee9,"August 28, 2024",present
893f68259e4433e3015ecf709c8acb23,"August 27, 2024",absent
893f68259e4433e3015ecf709c8acb23,"August 28, 2024",present
fe207ea041ed629d6db4ecda395048fb,"August 27, 2024",present
fe207ea041ed629d6db4ecda395048fb,"August 28, 2024",present
0bd9270f712bd8dd6304b0743cd8ade1,"August 27, 2024",present
0bd9270f712bd8dd6304b0743cd8ade1,"August 28, 2024",present
dc7c363863715680a1a15b7b065e3128,"August 27, 2024",present
dc7c363863715680a1a15b7b065e3128,"August 28, 2024",present
760e9fd655de0bdeeea98b99a2979a03,"August 27, 2024",present
760e9fd655de0bdeeea98b99a2979a03,"August 28, 2024",present
1c4842adfca2cc3d85e0d7d14e87e88d,"August 27, 2024",present
1c4842adfca2cc3d85e0d7d14e87e88d,"August 28, 2024",present
81d007bcd2099321cacc4d29ad9b1397,"August 27, 2024",present
81d007bcd2099321cacc4d29ad9b1397,"August 28, 2024",present
05f49a44d10b4afb3a3ba8eecddfc29d,"August 27, 2024",present
05f49a44d10b4afb3a3ba8eecddfc29d,"August 28, 2024",present
58b1c90033df4f4e2f37417f0eb7336d,"August 27, 2024",present
58b1c90033df4f4e2f37417f0eb7336d,"August 28, 2024",present
684bf873954e5b8bc12d37a8d4d9d3cd,"August 27, 2024",present
684bf873954e5b8bc12d37a8d4d9d3cd,"August 28, 2024",present
206fac35f05d42b2cce88721bd8dd522,"August 27, 2024",present
206fac35f05d42b2cce88721bd8dd522,"August 28, 2024",present
659099b94175e3331251f7bf1043c106,"August 27, 2024",absent
659099b94175e3331251f7bf1043c106,"August 28, 2024",present
bd5456c0c3b821f3cd9ee36ec51c3035,"August 27, 2024",present
bd5456c0c3b821f3cd9ee36ec51c3035,"August 28, 2024",present
9efa9d931b8316738176b0727b14bdae,"August 27, 2024",tardy
9efa9d931b8316738176b0727b14bdae,"August 28, 2024",tardy
6ba999cbd5a66bf246c52adf216f0e29,"August 27, 2024",tardy
6ba999cbd5a66bf246c52adf216f0e29,"August 28, 2024",present
d814d55e30ddeab81dbb04e0c7da1163,"August 27, 2024",tardy
d814d55e30ddeab81dbb04e0c7da1163,"August 28, 2024",present
aad0b5b40c4bb938ca010217dee65700,"August 27, 2024",present
aad0b5b40c4bb938ca010217dee65700,"August 28, 2024",present
217c5bbadf544b8ecc024e83a83b066c,"August 27, 2024",present
217c5bbadf544b8ecc024e83a83b066c,"August 28, 2024",present
bd101ddc066b36068eff4282971b8ba9,"August 27, 2024",present
bd101ddc066b36068eff4282971b8ba9,"August 28, 2024",present
5e15f3ac19b4b9f5b131d164aed2f5d7,"August 27, 2024",present
5e15f3ac19b4b9f5b131d164aed2f5d7,"August 28, 2024",absent
30a922fee1fdea522eabbff51889885c,"August 27, 2024",present
30a922fee1fdea522eabbff51889885c,"August 28, 2024",present
e5d180942e8bc59bb46061f6d3b00885,"August 27, 2024",tardy
e5d180942e8bc59bb46061f6d3b00885,"August 28, 2024",present
d64a0a27e74abf0ea921c0b847322251,"August 27, 2024",tardy
d64a0a27e74abf0ea921c0b847322251,"August 28, 2024",present
1010045cbc17170c021ae7417b8322b5,"August 27, 2024",absent
1010045cbc17170c021ae7417b8322b5,"August 28, 2024",absent
64bee25c31cd3609e12df08799e2c4f8,"August 27, 2024",present
64bee25c31cd3609e12df08799e2c4f8,"August 28, 2024",absent
5cbb25b73568902ce5612f403bde66b3,"August 27, 2024",present
5cbb25b73568902ce5612f403bde66b3,"August 28, 2024",present
60bb177ae6b7c5b08f83006e30df047f,"August 27, 2024",present
60bb177ae6b7c5b08f83006e30df047f,"August 28, 2024",present
252cf5af869bc8a57534c172a311b823,"August 27, 2024",present
252cf5af869bc8a57534c172a311b823,"August 28, 2024",present
b63eaa4a539c919ea0cfd311f285168d,"August 27, 2024",present
b63eaa4a539c919ea0cfd311f285168d,"August 28, 2024",present
792ae3fde1824b0a10703bf3a3b4e69f,"August 27, 2024",tardy
792ae3fde1824b0a10703bf3a3b4e69f,"August 28, 2024",present
5848d63c2d5668827cf9ce58fdacef71,"August 27, 2024",present
